"continent","country","gdpPercap_1952","gdpPercap_1957","gdpPercap_1962","gdpPercap_1967","gdpPercap_1972","gdpPercap_1977","gdpPercap_1982","gdpPercap_1987","gdpPercap_1992","gdpPercap_1997","gdpPercap_2002","gdpPercap_2007","lifeExp_1952","lifeExp_1957","lifeExp_1962","lifeExp_1967","lifeExp_1972","lifeExp_1977","lifeExp_1982","lifeExp_1987","lifeExp_1992","lifeExp_1997","lifeExp_2002","lifeExp_2007","pop_1952","pop_1957","pop_1962","pop_1967","pop_1972","pop_1977","pop_1982","pop_1987","pop_1992","pop_1997","pop_2002","pop_2007"
"Africa","Algeria",2449.01,3013.98,2550.82,3246.99,4182.66,4910.42,5745.16,5681.36,5023.22,4797.3,5288.04,6223.37,43.077,45.685,48.303,51.407,54.518,58.014,61.368,65.799,67.744,69.152,70.994,72.301,9279520,10270900,11000900,12760500,14760800,17152800,20033800,23255000,26298400,29072000,31287100,33333200
"Africa","Angola",3520.61,3827.94,4269.28,5522.78,5473.29,3008.65,2756.95,2430.21,2627.85,2277.14,2773.29,4797.23,30.015,31.999,34,35.985,37.928,39.483,39.942,39.906,40.647,40.963,41.003,42.731,4232100,4561360,4826020,5247470,5894860,6162680,7016380,7874230,8735990,9875020,10866100,12420500
"Africa","Benin",1062.75,959.601,949.499,1035.83,1085.8,1029.16,1277.9,1225.86,1191.21,1232.98,1372.88,1441.28,38.223,40.358,42.618,44.885,47.014,49.19,50.904,52.337,53.919,54.777,54.406,56.728,1738320,1925170,2151900,2427330,2761410,3168270,3641600,4243790,4981670,6066080,7026110,8078310
"Africa","Botswana",851.241,918.233,983.654,1214.71,2263.61,3214.86,4551.14,6205.88,7954.11,8647.14,11003.6,12569.9,47.622,49.618,51.52,53.298,56.024,59.319,61.484,63.622,62.745,52.556,46.634,50.728,442308,474639,512764,553541,619351,781472,970347,1151180,1342610,1536540,1630350,1639130
"Africa","Burkina Faso",543.255,617.183,722.512,794.827,854.736,743.387,807.199,912.063,931.753,946.295,1037.65,1217.03,31.975,34.906,37.814,40.697,43.591,46.137,48.122,49.557,50.26,50.324,50.65,52.295,4469980,4713420,4919630,5127940,5433890,5889570,6634600,7586550,8878300,10352800,12251200,14326200
"Africa","Burundi",339.296,379.565,355.203,412.978,464.1,556.103,559.603,621.819,631.7,463.115,446.404,430.071,39.031,40.533,42.045,43.548,44.057,45.91,47.471,48.211,44.736,45.326,47.36,49.58,2445620,2667520,2961920,3330990,3529980,3834420,4580410,5126020,5809240,6121610,7021080,8390500
"Africa","Cameroon",1172.67,1313.05,1399.61,1508.45,1684.15,1783.43,2367.98,2602.66,1793.16,1694.34,1934.01,2042.1,38.523,40.428,42.643,44.799,47.049,49.355,52.961,54.985,54.314,52.199,49.856,50.43,5009070,5359920,5793630,6335510,7021030,7959860,9250830,10780700,12467200,14195800,15930000,17696300
"Africa","Central African Republic",1071.31,1190.84,1193.07,1136.06,1070.01,1109.37,956.753,844.876,747.906,740.506,738.691,706.017,35.463,37.464,39.475,41.478,43.457,46.775,48.295,50.485,49.396,46.066,43.308,44.741,1291700,1392280,1523480,1733640,1927260,2167530,2476970,2840010,3265120,3696510,4048010,4369040
"Africa","Chad",1178.67,1308.5,1389.82,1196.81,1104.1,1133.98,797.908,952.386,1058.06,1004.96,1156.18,1704.06,38.092,39.881,41.716,43.601,45.569,47.383,49.517,51.051,51.724,51.573,50.525,50.651,2682460,2894860,3150420,3495970,3899070,4388260,4875120,5498960,6429420,7562010,8835740,10238800
"Africa","Comoros",1102.99,1211.15,1406.65,1876.03,1937.58,1172.6,1267.1,1315.98,1246.91,1173.62,1075.81,986.148,40.715,42.46,44.467,46.472,48.944,50.939,52.933,54.926,57.939,60.66,62.974,65.152,153936,170928,191689,217378,250027,304739,348643,395114,454429,527982,614382,710960
